uid;source;target;weight;timestamp
1;GET,/lobcder/dav;GET,/lobcder/dav;63;2014-01-14 21:40:11
4;PROPFIND,/lobcder/dav;PROPFIND,/lobcder/dav;8638;2014-01-16 13:57:17
7;PROPFIND,/lobcder/dav;GET,/lobcder/dav;26;2014-01-14 13:26:49
8;GET,/lobcder/dav;PROPFIND,/lobcder/dav;19;2013-11-28 17:29:35
9;PROPFIND,/lobcder/dav;PROPFIND,/lobcder/dav/dare;6059;2013-10-21 12:33:37
10;PROPFIND,/lobcder/dav/dare;PROPFIND,/lobcder/dav;41;2013-11-27 17:17:24
11;PROPFIND,/lobcder/dav/dare;PROPFIND,/lobcder/dav/dare/pocAS;2273;2013-12-16 11:40:19
17;GET,/lobcder/dav/dare/pocAS/s8T1.nii;GET,/lobcder/dav/dare/pocAS/s8T1.nii;99;2013-10-07 13:29:03
18;GET,/lobcder/dav/dare/pocAS/s8T1.nii;PROPFIND,/lobcder/dav/dare/pocAS;29;2013-10-07 13:28:58
19;PROPFIND,/lobcder/dav/dare/pocAS;GET,/lobcder/dav/dare/pocAS/s8T1.nii;28;2013-10-07 13:28:58
20;PROPFIND,/lobcder/dav/dare/pocAS;PROPFIND,/lobcder/dav/dare/pocAS/testRun;27;2013-12-16 11:40:20
21;PROPFIND,/lobcder/dav/dare/pocAS/testRun;PROPFIND,/lobcder/dav;5;2013-10-16 14:55:54
22;PROPFIND,/lobcder/dav/dare/pocAS;PROPFIND,/lobcder/dav;325;2013-10-21 12:35:24
23;PROPFIND,/lobcder/dav/dare;GET,/lobcder/dav/dare/pocAS/s8T1.nii;12;2013-10-07 13:23:42
26;PROPFIND,/lobcder/dav;PROPFIND,/lobcder/dav/dare/pocAS;46;2013-10-16 15:22:03
27;PROPFIND,/lobcder/dav/dare/pocAS;PROPFIND,/lobcder/dav/dare/pocAS;53;2013-10-16 15:21:44
28;GET,/lobcder/dav/dare/pocAS/s8T1.nii;PROPFIND,/lobcder/dav;21;2013-10-07 13:28:29
58;PROPFIND,/lobcder/dav/dare/pocAS;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;113;2013-10-04 21:39:10
60;PROPFIND,/lobcder/dav/dare/pocAS;PROPFIND,/lobcder/dav/dare;21;2013-10-16 15:21:46
65;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;PROPFIND,/lobcder/dav/dare/pocAS;111;2013-10-04 21:39:16
68;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;PROPFIND,/lobcder/dav;116;2013-10-04 21:38:45
71;PROPFIND,/lobcder/dav/dare;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;111;2013-10-04 21:38:46
72;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;1094;2013-10-04 21:39:15
73;PROPFIND,/lobcder/dav;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;79;2013-10-04 21:15:25
74;LOCK,/lobcder/dav/dare/pocAS/hippo.1380906216.48.log;PROPFIND,/lobcder/dav/dare;75;2013-10-04 21:15:30
90;GET,/lobcder/dav/skoulouz/authUsersWeek.png;PROPFIND,/lobcder/dav;6;2013-10-29 19:21:22
91;PROPFIND,/lobcder/dav;MKCOL,/lobcder/dav/testResourceId;7;2013-11-11 18:09:15
92;MKCOL,/lobcder/dav/testResourceId;MKCOL,/lobcder/dav/testResourceId;165;2014-01-14 14:12:20
93;MKCOL,/lobcder/dav/testResourceId;DELETE,/lobcder/dav/testResourceId;32;2013-10-16 00:44:34
94;DELETE,/lobcder/dav/testResourceId;MKCOL,/lobcder/dav/testResourceId;132;2014-01-14 14:12:20
97;MKCOL,/lobcder/dav/testResourceId;PUT,/lobcder/dav/testResourceId/file1;113;2014-01-14 14:12:20
98;PUT,/lobcder/dav/testResourceId/file1;PUT,/lobcder/dav/testResourceId/file1;114;2014-01-14 14:12:20
99;PUT,/lobcder/dav/testResourceId/file1;DELETE,/lobcder/dav/testResourceId;31;2013-11-19 13:32:19
100;DELETE,/lobcder/dav/testResourceId;DELETE,/lobcder/dav/testResourceId;173;2014-01-14 14:12:21
101;DELETE,/lobcder/dav/testResourceId;PUT,/lobcder/dav/testFileName1.txt;9;2014-01-14 14:12:21
102;PUT,/lobcder/dav/testFileName1.txt;PUT,/lobcder/dav/testFileName1.txt;117;2014-01-14 14:12:21
103;PUT,/lobcder/dav/testFileName1.txt;PROPFIND,/lobcder/dav/testFileName1.txt;38;2014-01-14 14:12:36
104;PROPFIND,/lobcder/dav/testFileName1.txt;PROPFIND,/lobcder/dav/testFileName1.txt;46;2014-01-14 14:12:37
105;PROPFIND,/lobcder/dav/testFileName1.txt;DELETE,/lobcder/dav/testFileName1.txt;27;2014-01-14 14:12:37
106;DELETE,/lobcder/dav/testFileName1.txt;DELETE,/lobcder/dav/testFileName1.txt;84;2014-01-14 14:12:37
107;DELETE,/lobcder/dav/testFileName1.txt;PROPFIND,/lobcder/dav/testFileName1.txt;11;2014-01-14 14:10:41
108;PROPFIND,/lobcder/dav/testFileName1.txt;PUT,/lobcder/dav/testFileName1.txt;11;2014-01-14 14:10:41
109;PROPFIND,/lobcder/dav/testFileName1.txt;GET,/lobcder/dav/testFileName1.txt;11;2014-01-14 14:10:41
110;GET,/lobcder/dav/testFileName1.txt;GET,/lobcder/dav/testFileName1.txt;54;2014-01-14 14:10:59
111;GET,/lobcder/dav/testFileName1.txt;PUT,/lobcder/dav/testFileName1.txt;22;2014-01-14 14:10:42
112;PUT,/lobcder/dav/testFileName1.txt;GET,/lobcder/dav/testFileName1.txt;43;2014-01-14 14:10:59
113;GET,/lobcder/dav/testFileName1.txt;DELETE,/lobcder/dav/testFileName1.txt;22;2014-01-14 14:10:43
114;DELETE,/lobcder/dav/testFileName1.txt;PUT,/lobcder/dav/testFileName1.txt;43;2014-01-14 14:12:21
117;DELETE,/lobcder/dav/testFileName1.txt;PUT,/lobcder/dav/testFileNameT1;8;2014-01-14 14:11:00
118;PUT,/lobcder/dav/testFileNameT1;PUT,/lobcder/dav/testFileNameT2;18;2014-01-14 14:11:00
119;PUT,/lobcder/dav/testFileNameT2;PUT,/lobcder/dav/testFileNameT1;12;2014-01-14 14:11:00
120;PUT,/lobcder/dav/testFileNameT2;PROPFIND,/lobcder/dav/testFileNameT1;7;2014-01-14 14:11:00
121;PROPFIND,/lobcder/dav/testFileNameT1;PROPFIND,/lobcder/dav/testFileNameT2;16;2014-01-14 14:11:00
122;PROPFIND,/lobcder/dav/testFileNameT2;PROPFIND,/lobcder/dav/testFileNameT1;12;2014-01-14 14:11:00
123;PROPFIND,/lobcder/dav/testFileNameT2;DELETE,/lobcder/dav/testFileNameT1;7;2014-01-14 14:11:00
124;DELETE,/lobcder/dav/testFileNameT1;DELETE,/lobcder/dav/testFileNameT2;17;2014-01-14 14:11:00
125;DELETE,/lobcder/dav/testFileNameT2;DELETE,/lobcder/dav/testFileNameT1;10;2014-01-14 14:11:00
127;DELETE,/lobcder/dav/testFileName1;PUT,/lobcder/dav/testFileName1;12;2014-01-14 14:11:18
128;PUT,/lobcder/dav/testFileName1;PUT,/lobcder/dav/testFileName1;12;2014-01-14 14:11:18
129;PUT,/lobcder/dav/testFileName1;PUT,/lobcder/dav/testTxtFileName.txt;11;2014-01-14 14:10:40
130;PUT,/lobcder/dav/testTxtFileName.txt;PUT,/lobcder/dav/testTxtFileName.txt;11;2014-01-14 14:10:40
131;PUT,/lobcder/dav/testTxtFileName.txt;DELETE,/lobcder/dav/testFileName1;11;2014-01-14 14:10:40
132;DELETE,/lobcder/dav/testFileName1;DELETE,/lobcder/dav/testFileName1;11;2014-01-14 14:10:40
133;DELETE,/lobcder/dav/testFileName1;DELETE,/lobcder/dav/testTxtFileName.txt;11;2014-01-14 14:10:40
134;DELETE,/lobcder/dav/testTxtFileName.txt;DELETE,/lobcder/dav/testTxtFileName.txt;11;2014-01-14 14:10:40
136;GET,/lobcder/dav;OPTIONS,/lobcder/dav;17;2014-01-14 21:40:43
137;OPTIONS,/lobcder/dav;OPTIONS,/lobcder/dav;2076;2014-01-16 15:46:48
138;OPTIONS,/lobcder/dav;MKCOL,/lobcder/dav/testResourceId;9;2014-01-14 14:12:10
139;MKCOL,/lobcder/dav/testResourceId;PUT,/lobcder/dav/testResourceId/bindtest1;8;2014-01-14 14:12:10
140;PUT,/lobcder/dav/testResourceId/bindtest1;PUT,/lobcder/dav/testResourceId/bindtest1;8;2014-01-14 14:12:10
141;PUT,/lobcder/dav/testResourceId/bindtest1;GET,/lobcder/dav/testResourceId/bindtest1;8;2014-01-14 14:12:10
142;GET,/lobcder/dav/testResourceId/bindtest1;GET,/lobcder/dav/testResourceId/bindtest1;8;2014-01-14 14:12:11
143;GET,/lobcder/dav/testResourceId/bindtest1;MOVE,/lobcder/dav/testResourceId/bindtest1;8;2014-01-14 14:12:11
144;MOVE,/lobcder/dav/testResourceId/bindtest1;MOVE,/lobcder/dav/testResourceId/bindtest1;8;2014-01-14 14:12:11
145;MOVE,/lobcder/dav/testResourceId/bindtest1;GET,/lobcder/dav/testResourceId/bindtest2;8;2014-01-14 14:12:11
146;GET,/lobcder/dav/testResourceId/bindtest2;GET,/lobcder/dav/testResourceId/bindtest2;8;2014-01-14 14:12:11
147;GET,/lobcder/dav/testResourceId/bindtest2;DELETE,/lobcder/dav/testResourceId;8;2014-01-14 14:12:11
148;DELETE,/lobcder/dav/testResourceId;MKCOL,/lobcder/dav/testSimpleBind;8;2014-01-14 14:12:11
149;MKCOL,/lobcder/dav/testSimpleBind;MKCOL,/lobcder/dav/testSimpleBind;24;2014-01-14 14:12:14
150;MKCOL,/lobcder/dav/testSimpleBind;MKCOL,/lobcder/dav/testSimpleBind/bindtest1;24;2014-01-14 14:12:14
151;MKCOL,/lobcder/dav/testSimpleBind/bindtest1;MKCOL,/lobcder/dav/testSimpleBind/bindtest1;24;2014-01-14 14:12:14
152;MKCOL,/lobcder/dav/testSimpleBind/bindtest1;MKCOL,/lobcder/dav/testSimpleBind/bindtest2;24;2014-01-14 14:12:14
153;MKCOL,/lobcder/dav/testSimpleBind/bindtest2;MKCOL,/lobcder/dav/testSimpleBind/bindtest2;24;2014-01-14 14:12:14
154;MKCOL,/lobcder/dav/testSimpleBind/bindtest2;PUT,/lobcder/dav/testSimpleBind/bindtest1/res1;24;2014-01-14 14:12:14
155;PUT,/lobcder/dav/testSimpleBind/bindtest1/res1;PUT,/lobcder/dav/testSimpleBind/bindtest1/res1;24;2014-01-14 14:12:14
156;PUT,/lobcder/dav/testSimpleBind/bindtest1/res1;GET,/lobcder/dav/testSimpleBind/bindtest1/res1;8;2014-01-14 14:12:12
157;GET,/lobcder/dav/testSimpleBind/bindtest1/res1;GET,/lobcder/dav/testSimpleBind/bindtest1/res1;8;2014-01-14 14:12:12
158;GET,/lobcder/dav/testSimpleBind/bindtest1/res1;DELETE,/lobcder/dav/testSimpleBind;8;2014-01-14 14:12:12
159;DELETE,/lobcder/dav/testSimpleBind;DELETE,/lobcder/dav/testSimpleBind;24;2014-01-14 14:12:14
160;DELETE,/lobcder/dav/testSimpleBind;MKCOL,/lobcder/dav/testRebind;8;2014-01-14 14:12:12
161;MKCOL,/lobcder/dav/testRebind;MKCOL,/lobcder/dav/testRebind;8;2014-01-14 14:12:12
162;MKCOL,/lobcder/dav/testRebind;MKCOL,/lobcder/dav/testRebind/bindtest1;8;2014-01-14 14:12:12
163;MKCOL,/lobcder/dav/testRebind/bindtest1;MKCOL,/lobcder/dav/testRebind/bindtest1;8;2014-01-14 14:12:12
164;MKCOL,/lobcder/dav/testRebind/bindtest1;MKCOL,/lobcder/dav/testRebind/bindtest2;8;2014-01-14 14:12:12
165;MKCOL,/lobcder/dav/testRebind/bindtest2;MKCOL,/lobcder/dav/testRebind/bindtest2;8;2014-01-14 14:12:12
166;MKCOL,/lobcder/dav/testRebind/bindtest2;PUT,/lobcder/dav/testRebind/bindtest1/res1;8;2014-01-14 14:12:12
167;PUT,/lobcder/dav/testRebind/bindtest1/res1;PUT,/lobcder/dav/testRebind/bindtest1/res1;8;2014-01-14 14:12:13
168;PUT,/lobcder/dav/testRebind/bindtest1/res1;GET,/lobcder/dav/testRebind/bindtest1/res1;8;2014-01-14 14:12:13
169;GET,/lobcder/dav/testRebind/bindtest1/res1;GET,/lobcder/dav/testRebind/bindtest1/res1;8;2014-01-14 14:12:13
170;GET,/lobcder/dav/testRebind/bindtest1/res1;DELETE,/lobcder/dav/testRebind;8;2014-01-14 14:12:13
171;DELETE,/lobcder/dav/testRebind;DELETE,/lobcder/dav/testRebind;8;2014-01-14 14:12:13
172;DELETE,/lobcder/dav/testRebind;MKCOL,/lobcder/dav/testSimpleBind;8;2014-01-14 14:12:13
173;PUT,/lobcder/dav/testSimpleBind/bindtest1/res1;PUT,/lobcder/dav/testSimpleBind/bindtest2/res2;16;2014-01-14 14:12:14
